,task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
Abhijit ,ebay/search//10,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I need a traditional, hard-wired CCTV camera system for a full security setup at my place. I'm looking for a complete 8-camera system that uses BNC connectivity because I want a reliable wired connection without Wi-Fi lag. The cameras have to be 1080p resolution and fully outdoor/weatherproof since they'll be wall-mounted around the exterior. Most importantly, the system needs to support automatic motion tracking and allow for manual sensitivity settings so I can fine-tune the alerts and avoid false triggers. What do you have that's ready for a professional outdoor install "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=185053&_fsrp=1&rt=nc&_from=R40&_nkw=cctv+camera+system&_sacat=0&Number%2520of%2520Cameras%2520Included=8&Connectivity=BNC&Surveillance%2520Technology=CCTV&Number%2520of%2520Channels=8%7C16&Type=Complete%2520System&Features=Automatic%2520Motion%2520Tracking%7COutdoor%252FWeatherproof%7CManual%2520Sensitivity%2520setting%7CWaterproof%7CWall%2520Mounted&Maximum%2520Resolution=1920x1080 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,hard,null,null,validation,null
Abhijit ,ebay/search//11,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking to seriously upgrade my gaming setup with a 4K gaming monitor, and I want something massive—definitely in the 32 to 48-inch range. I’m a bit of a stickler for smoothness, so it needs a 144Hz refresh rate, and I’m sticking to the classic 16:9 aspect ratio since I’m not a fan of ultrawides. It’s got to have Adaptive-Sync to keep things from tearing, and since I’m hooking it up to my current gear, it needs to have HDMI inputs. What do you have in those bigger screen sizes that can actually handle high-end gaming "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=80053&_fsrp=1&rt=nc&_from=R40&_nkw=4k+gaming+monitor&_sacat=0&Screen%2520Size=31%2520in%252D39%252E9%2520in%7C40%2520in%252D49%252E9%2520in&Refresh%2520Rate=144%2520Hz&Maximum%2520Resolution=3840%2520x%25202160&Video%2520Inputs=HDMI%25202%252E0%7CHDMI%2520Standard&Features=Adaptive%252DSync&Aspect%2520Ratio=16%253A9 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//12,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking to finally sort out my garage and I need a proper, high-quality wrench set. I want a complete 22-piece kit that covers both Metric and Standard (SAE) sizes because I’m tired of never having the right one for the job. I’m looking for a mix of Combination and Ratcheting Box wrenches so I have versatility for tight spaces. Since I’ll be putting some real torque on these, they absolutely have to be made of Chrome Vanadium Steel and be Heavy Duty. I’ve got a budget between $75 and $150 to make sure I’m getting tools that actually last. What’ve you got that’s organized and ready to go? "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=29527&_fsrp=1&rt=nc&_from=R40&_nkw=wrench+set&_sacat=0&System%2520of%2520Measurement=Metric%252FStandard&Type=Ratcheting%2520Box%2520Wrench%7CCombination%2520Wrench&Material=High%2520Carbon%2520Steel%7CChrome%2520Vanadium%2520Steel&Features=Heavy%2520Duty%7CAdjustable&Number%2520of%2520Pieces=22&_udlo=75&_udhi=150 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Dhanashree,ebay/search/new_home_decor/3,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": ""I’ve been looking to refresh a few areas in my home with home decor collection under $15-$35, especially decorative pieces that can work in both the kitchen and living room. I prefer items with a natural, slightly industrial feel—something that of solid materials like wood and metal. I also want items that are new in condition and available in buy it  now format. Since I’m ordering internationally, I’d prefer free international shipping, and I usually start by checking the newest items first to see what’s recently been added. "",""gt_url"": [""https://www.ebay.com/sch/i.html?LH_FS=1&_nkw=home+decor+collection&Material=Metal%7CWood&Room=Living%2520Room%7CKitchen&LH_ItemCondition=1000&_udlo=15&_udhi=35&_sop=10&LH_BIN=1""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,hard,null,null,validation,null
Dhanashree,ebay/search/non_slip_yoga_mat/14,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": Looking for a Longines watch that brings a touch of classic elegance to my collection. I’m specifically looking for a Pre-Owned piece, as I appreciate the character and history of a vintage find. My preference is for something from the Women's department with a Case Size between 36-39.9 mm, as that mid-size fit is exactly what I’m after.
 
 I’m not looking for just any watch—I’m focused on Luxury and Classic styles that feel timeless. I usually start by looking for a ""Best Match"" among the 19 available results, keeping a close eye on standout models like the Spirit or the Master Collection that offer that perfect blend of heritage and style. "" "",""gt_url"": ["" ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,easy,null,null,validation,null
Bheemika,ebay/search//15,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": for a reliable Dyson vacuum cleaner that balances high-end performance with a more practical price. I’m specifically looking for Used models to get the best value, but I need the freedom of a Cordless design to move through the house without being tethered to a wall. Since I’m buying pre-owned, it is important that Returns are Accepted so I can shop with total peace of mind. I am particularly interested in seeing how the top-tier options like the V15 Detect. "" "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=dyson+vacuum+cleaner&_sacat=0&_from=R40&LH_ItemCondition=3000&Cord%2520Type=Cordless&rt=nc&LH_RPA=1&Model=Dyson%2520V15%2520Detect&_dcat=20614 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Dhanashree,ebay/search/indoor_plants/16,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": ""I want to explore indoor plants with type houseplants that are suitable for home environments. I’m looking for affordable choices under $75 and prefer items with buying format as buy it now. I also want free international shipping."",""gt_url"": [""https://www.ebay.com/sch/i.html?_nkw=indoor%20plants&LH_FS=1&Type=Houseplants&LH_BIN=1&_udhi=75""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//17,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" Searching for lighting that casts a warm, intentional glow across the canvas of my home. I am on a pilgrimage for Brand New luminaires, seeking the brilliance of White or Yellow hues to define the atmosphere of my sanctuary.I am moving past shadows and dim corners, allowing the ""Best Match"" "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_fsrp=1&_nkw=lights+&_oaa=1&_vs=1&rt=nc&LH_ItemCondition=3&Color=Yellow%7CWhite&_dcat=6028 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//18,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" trying to find a gardening saw that brings efficiency and ease to my outdoor projects. I’m specifically looking for a Used tool, as I appreciate finding high-quality gear that still has plenty of work left to do. I’m focusing on a very specific budget—more interested in functional pieces between $8 and $15—to ensure I'm getting the best utility for the price.
 
 Safety and reliability are key, so I prefer listings where Returns are Accepted just in case the tool isn't quite right for my grip. I usually start by looking at the ""Best Match"" to see which items stand ou "",""gt_url"": [""https://www.ebay.com/sch/i.html?_fsrp=1&rt=nc&_from=R40&LH_RPA=1&_nkw=gardening+saw&_sacat=0&LH_ItemCondition=4&_udlo=8&_udhi=15 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,easy,null,null,validation,null
Bheemika,ebay/search//19,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": A frind of mine suggested to install an chandelier and I cannot stop imagining that in my home, that weaves a sense of gothic heritage into the heart of my Living Room. I’m on a quest for something Brand New but steeped in Antique and Traditional souls, where the shadows of a deep Black finish meet the brilliance of light. I’m moving past the realm of trivial trinkets, seeking instead the gravity of Chandelier or Pendant centerpieces that command a value over $60. To protect my journey, I only walk paths where Returns are Accepted, allowing the tides of ""Newly Listed"" arrivals to guide my hand. "" "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=chandelier&_sacat=0&_from=R40&_fsrp=1&_udlo=60&LH_RPA=1&_sop=10&Style=Traditional%7CAntique&Room=Living%2520Room&Color=Black&Type=Pendant%7CChandelier&_dcat=117503&rt=nc&LH_ItemCondition=1000 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,hard,null,null,validation,null
Bheemika,ebay/search//20,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" a wall clock that adds a natural and warm touch to my Living Room. I’m specifically looking for a Brand New piece made of Wood, ensuring it’s Battery-Operated for easy placement. I’d prefer a clean palette of Black or White to match my decor. I’m staying within a practical budget, looking for options between $16 and $25 that offer reliable quality. Peace of mind is important to me, so I focus on listings where Returns are Accepted "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=wall+clock&_sacat=0&_from=R40&_fsrp=1&LH_RPA=1&LH_ItemCondition=1000&Material=Wood&Features=Battery%252DOperated&Room=Living%2520Room&Color=Beige%7CBlack%7CWhite&_dcat=20561&rt=nc&_udlo=16&_udhi=25 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//21,"""{""""_target_"""": """"navi_bench.ebay.ebay_url_match.generate_task_config"""",""""url"""": """"https://www.ebay.com"""",""""task"""": """"Thinking of gifting a rug  to a friend that adds a vibrant and artistic soul to her home. I’m specifically looking for something Brand New to ensure a fresh start for herspace. she would prefer Multicolor palette with a detailed Floral pattern, blending Traditional elegance with a Bohemian spirit.
I’m keeping my search over $60, looking for quality accents . Because I want to shop with confidence, I prioritize listings where Returns are Accepted incase she dont like them."""",""""gt_url"""": ["""" https://www.ebay.com/sch/i.html?_nkw=rugs&_sacat=0&_from=R40&LH_TitleDesc=0&_fsrp=1&LH_RPA=1&Color=Multicolor&Style=Traditional%7CBohemian&Pattern=Floral&_dcat=20571&LH_ItemCondition=3&rt=nc&_udlo=60 """"],""""location"""": """"United States"""",""""timezone"""": """"America/Chicago"""",""""timestamp"""": null}""
",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//22,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" We are shifting home soon and I am trying find a wooden coffee table that brings a natural and sturdy anchor to my living space. I’m specifically looking for an Indoor piece in a rich Brown finish to complement my existing furniture. I’m not looking for small accents, I’m focused on higher-quality, substantial tables over $60 that feel like a long-term investment.Since I want a smooth experience for such a large item, I prioritize listings where Returns are Accepted. I usually start by browsing through the results sorted by ""Newly Listed"" to see the freshest arrivals "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=wooden+coffe+table&_sacat=0&_from=R40&_fsrp=1&_udlo=60&LH_RPA=1&Type=Coffee%2520Table&Color=Brown&Indoor%252FOutdoor=Indoor&_dcat=38204&_sop=10 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//23,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": ""I am updating my kitchenwares thus searching for a collection of water glasses that brings a crystal-clear clarity to the sanctuary of my Kitchen and Dining space. I am on a quest for something Brand New and untouched, specifically crafted as Drinking Glass sets made of Glass or Ceramic.
 I am navigating away from common vessels, focusing my sights on Sale Items that command a value over $60. To guard my pursuit, I only entertain offerings where Returns are Accepted, also would like to look fo rthe lowest items and earliest shipping first "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_oaa=1&_dcat=20696&_fsrp=1&_udlo=60&rt=nc&_from=R40&Material=Glass%7CCeramic&LH_ItemCondition=3&LH_RPA=1&Glassware%2520Type=Drinking%2520Glass&_nkw=water+glasses&_sacat=20625&_sop=15&LH_SaleItems=1""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Bheemika,ebay/search//24,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": ""  Searching for a bottle opener that brings a touch of effortless utility and a distinct character to my home bar. I am on a pilgrimage for Brand New tools, seeking the crisp reliability of a fresh start within a focused price range of $8 to $11. I am navigating away from the ordinary, letting the ""Best Match"" guide me toward artifacts that offer peace of mind through Accepted Returns."",""gt_url"": [""https://www.ebay.com/sch/i.html?_nkw=bottle+opener&_sacat=0&_from=R40&LH_ItemCondition=1000&_udlo=8&_udhi=11&rt=nc&LH_RPA=1 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/category//1,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" so I’m looking to pick up a Sony console, but I’m being pretty picky about this one. I’m really hunting for something that’s basically like new—so let’s stick to 'Open Box' listings. I don't want to deal with a beat-up used unit. Since I’ll be downloading a fair amount of stuff, it needs to have at least 500GB of storage. I’ve set aside a decent budget for this, so show me options that are $350 or higher because I’m looking for a premium bundle or a limited edition, not a bargain-bin find. Oh, and I’m only interested if it has free shipping—I hate getting hit with those extra fees at checkout. "",""gt_url"": ["" https://www.ebay.com/b/Sony-Video-Game-Consoles/139971/bn_64861690?LH_FS=1&LH_ItemCondition=1500&LH_PrefLoc=1&Storage%2520Capacity=500%2520GB&_udlo=350&mag=1&rt=nc "", "" https://www.ebay.com/sch/i.html?_oaa=1&_dcat=1249&_udlo=350&_fsrp=1&LH_FS=1&rt=nc&Platform=Sony%2520PlayStation%25204&LH_PrefLoc=98&_nkw=Sony&_sacat=1249&LH_ItemCondition=4 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,category,medium,null,null,validation,null
Abhijit ,ebay/category//2,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I'm looking for a heavy-duty metal dog collar specifically designed for training my big Rottweiler dog. Since I'm working with a very large breed, it needs to be a choke collar or a prong-style chain made of durable metal like chrome or steel in XL size. Most importantly, it has to be adjustable so I can get the perfect fit for a large neck. Show me some professional-grade options that are built for strength and control. "",""gt_url"": ["" https://www.ebay.com/b/XL-Metal-Dog-Collars/63057/bn_42092421?Type=Choke%2520Collar&Features=Adjustable&mag=1 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,category,easy,null,null,validation,null
Abhijit ,ebay/category//3,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I'm looking for a  cat carrier bag in black that's versatile enough for travel. I'd like to see options in both fabric and plastic materials—specifically those backpack-style carriers with the bubble windows or breathable mesh. I need something sleek that can handle a cat up to 20 lbs and is ideally airline approved for cabin travel. What are the best-rated portable options "",""gt_url"": ["" https://www.ebay.com/b/Cat-Carriers-Crates/116362/bn_1850506?Type=Carrier%2520Bag&Material=Plastic%7CFabric&Color=Black&mag=1 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,category,medium,null,null,validation,null
Abhijit ,ebay/category//4,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking for a high-quality harmonica to gift to a close friend. I’m not sure exactly where they are in their journey, so I’d like to see options suitable for both Beginners and Advanced players. It needs to be a durable instrument with a Brass or Gold Brass body and a sleek Chrome finish so it looks like a premium gift. Since they’ll likely be carrying it around to jam sessions, please make sure it’s Lightweight and made of Metal. What are the best-looking, professional-grade models you have that would make a great present? "",""gt_url"": ["" https://www.ebay.com/b/Harmonicas/47078/bn_1865317?Experience%2520Level=Beginner%7CAdvanced&Body%2520Material=Brass%7CMetal%7CGold%2520Brass&Finish%2520Material=Chrome&Features=Lightweight&mag=1 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,category,medium,null,null,validation,null
