task_id,Comments,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
ticketmaster/family/monster_jam/hartford_exact/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the Monster Jam event in Hartford exactly on {dateRange}."", ""queries"": [[{""event_names"": [""monster jam""], ""cities"": [""hartford""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,family,null,null,null,validation,null
ticketmaster/family/monster_jam/tucson_budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for Monster Jam tickets in Tucson on {dateRange}. Adjust the maximum price filter to $60 or find individual tickets listed under $60."", ""queries"": [[{""event_names"": [""monster jam""], ""cities"": [""tucson""], ""max_price"": 60.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Phoenix"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,family,null,null,null,validation,null
ticketmaster/family/monster_jam/biloxi_standard/101,check once later,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Monster Jam in Biloxi on {dateRange}. Ensure you filter out verified resale tickets and verify standard ticket availability."", ""queries"": [[{""event_names"": [""monster jam""], ""cities"": [""biloxi""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,family,null,null,null,validation,null
ticketmaster/sports/dodgers/royals_budget/101,"check with the event name, what should be here?","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Los Angeles Dodgers game against the Kansas City Royals on {dateRange}. Find tickets priced less than $70."", ""queries"": [[{""event_names"": [""dodgers"", ""royals""], ""max_price"": 70.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/dodgers/spring_training_surprise/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Los Angeles Dodgers tickets for their Spring Training game against the Chicago White Sox happening at Surprise Stadium in Arizona on {dateRange}."", ""queries"": [[{""event_names"": [""dodgers"", ""white sox""], ""cities"": [""surprise""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/dodgers/vs_athletics/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the Los Angeles Dodgers home game against The A's on {dateRange}."", ""queries"": [[{""event_names"": [""dodgers"", ""a's"", ""athletics""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Wednesdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/dodgers/vs_diamondbacks_flexible/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for an upcoming Los Angeles Dodgers game against the Arizona Diamondbacks. Check availability for {dateRange}."", ""queries"": [[{""event_names"": [""dodgers"", ""diamondbacks""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/dodgers/royals_4_tickets/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find exactly 4 tickets for the Los Angeles Dodgers at Kansas City Royals game on {dateRange}."", ""queries"": [[{""event_names"": [""dodgers"", ""royals""], ""ticket_quantities"": [4], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Tuesdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/dodgers/white_sox_primary/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the {dateRange} game between the Dodgers and White Sox. Filter the results to exclude 'Verified Resale' and only show Standard tickets."", ""queries"": [[{""event_names"": [""dodgers"", ""white sox""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Phoenix"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/mlb/kansas_city_discovery/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for any Dodgers/Royals game in Kansas City happening on {dateRange}."", ""queries"": [[{""event_names"": [""dodgers"", ""royals""], ""event_categories"": [""sports""], ""cities"": [""kansas city""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/concerts/bruno_mars/strict_budget_pair/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Bruno Mars 'The Romantic Tour' concert on {dateRange} for exactly 2 tickets priced between $600 and $1000."", ""queries"": [[{""event_names"": [""bruno mars"", ""the romantic tour""], ""ticket_quantities"": [2], ""min_price"": 600.0, ""max_price"": 1000.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/bruno_mars/premium_resale/101,"require_resale"": true is this correct? for the verified resale option","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Bruno Mars tickets for his {dateRange}. Ensure the 'Verified Resale' filter is active, and find tickets priced over $700."", ""queries"": [[{""event_names"": [""bruno mars""], ""require_resale"": true, ""min_price"": 700.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/bruno_mars/front_rows/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Bruno Mars concert on {dateRange}. Find available tickets specifically located in Row 9 or Row 10."", ""queries"": [[{""event_names"": [""bruno mars""], ""rows"": [""9"", ""10""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/theater/mj/matinee/101,"added venues, edited the event ","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'MJ the musical' at the Neil Simon Theatre in New York on {dateRange} and check availability."", ""queries"": [[{""event_names"": [""mj the musical""], ""cities"": [""new york""], ""venues"":[""neil simon theatre""], ""times"": [""13:00""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Wednesdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/concerts/bruno_mars/cheap_ticket/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Bruno Mars 'The Romantic Tour' for {dateRange}. Find any available ticket that costs less than $650."", ""queries"": [[{""event_names"": [""bruno mars""], ""max_price"": 650.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/jonas_brothers/lincoln_budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Jonas Brothers performing at the 'The Venue at Thunder Valley Casino Resort' in Lincoln, CA on {dateRange}. Find tickets that cost maximum $250."", ""queries"": [[{""event_names"": [""jonas brothers""], ""venues"": [""the venue at thunder valley casino resort""], ""cities"": [""lincoln""], ""max_price"": 250.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/festivals/boots_and_hearts/friday_pass/101,updated the event name in query,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Boots And Hearts Music Festival in Oro-Medonte, ON, Canada on {dateRange} and check ticket availability."", ""queries"": [[{""event_names"": [""boots and hearts music festival""], ""cities"": [""oro-medonte""], ""require_available"": true}]], ""location"": ""Canada"", ""timezone"": ""America/Toronto"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,festivals,null,null,null,validation,null
ticketmaster/concerts/jonas_brothers/hometown_jacksonville/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Jonas Brothers 'Greetings From Your Hometown' concert happening at Daily's Place Amphitheater in Jacksonville on {dateRange}."", ""queries"": [[{""event_names"": [""jonas 20"", ""greetings from your hometown""], ""cities"": [""jacksonville""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/jonas_brothers/aspen_private/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Jonas Brothers' concert scheduled for {dateRange} in Aspen, CO."", ""queries"": [[{""event_names"": [""jonas brothers""], ""cities"": [""aspen""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/jonas_brothers/ziegfeld_new_york/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the Jonas Brothers performance at the Ziegfeld Ballroom in New York on {dateRange}, specifically standard tickets."", ""queries"": [[{""event_names"": [""jonas brothers""], ""venues"": [""ziegfeld ballroom""], ""cities"": [""new york""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/charlie_puth/qty3_price_range/101,updated the event ,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'Charlie Puth: 'Whatever's Clever! World Tour' on {dateRange}. Select exactly 3 tickets priced between $80 and $180."", ""queries"": [[{""event_names"": [""charlie puth: whatever's clever! world tour""], ""ticket_quantities"": [3], ""min_price"": 80.0, ""max_price"": 180.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/charlie_puth/under_60/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Charlie Puth concert on {dateRange}. Find any available standard ticket that costs less than $60."", ""queries"": [[{""event_names"": [""charlie puth""], ""max_price"": 60.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/charlie_puth/row_2/101,updated the event,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the 'Charlie Puth: 'Whatever's Clever! World Tour' on {dateRange}. Look for tickets specifically located in Row 2."", ""queries"": [[{""event_names"": [""charlie puth: whatever's clever! world tour""], ""rows"": [""2""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/charlie_puth/rio_de_janeiro/101,fixed: aligned city to Hollywood FL as in task text,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Charlie Puth concert taking place in Hollywood, FL."", ""queries"": [[{""event_names"": [""charlie puth""], ""cities"": [""hollywood""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/concerts/charlie_puth/whatevers_clever_tour/101,updated the event,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search specifically for the 'Whatever's Clever! World Tour' happening in New York on {dateRange} and ensure tickets are available."", ""queries"": [[{""event_names"": [""charlie puth: whatever's clever! world tour""], ""cities"": [""new york""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/comedy/jeff_dunham/tight_budget_pair/101,updated the event,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Jeff Dunham: Artificial Intelligence' comedy tour on {dateRange} for exactly 2 tickets priced between minimum $60 and maximum $80."", ""queries"": [[{""event_names"": [""jeff dunham: artificial intelligence""], ""ticket_quantities"": [2], ""min_price"": 60.0, ""max_price"": 80.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/jeff_dunham/detroit_matinee/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Jeff Dunham in Houston, TX on {dateRange}."", ""queries"": [[{""event_names"": [""jeff dunham""], ""cities"": [""houston""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Detroit"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/jeff_dunham/vegas_show/101,"venue was missing, thus added.","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for 'Jeff Dunham's: Artificial Intelligence' tour stop in Houston, TX at the hobby center on {dateRange}."", ""queries"": [[{""event_names"": [""jeff dunham: artificial intelligence""], ""cities"": [""houston""], ""venues"": [""hobby center""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/jeff_dunham/budget_under_80/101,ticket type to add in query,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Jeff Dunham tickets for his {dateRange} performance and verify if there are standard tickets available that cost less than $80."", ""queries"": [[{""event_names"": [""jeff dunham""], ""max_price"": 80.0, ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/detroit_discovery/101,"""require_available"": false} is this ok?","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/discover/comedy"", ""task"": ""Go to the Ticketmaster Comedy section and search for events happening in 'Detroit, MI' on {dateRange}. Do not need to click into any actual event."", ""queries"": [[{""event_categories"": [""comedy""], ""cities"": [""detroit""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/Detroit"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/jeff_dunham/row_c/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for tickets to the Jeff Dunham 'Artificial Intelligence' tour on {dateRange}. Check if there are any tickets available in Row C."", ""queries"": [[{""event_names"": [""jeff dunham: artificial intelligence""], ""rows"": [""c""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/theater/david_copperfield/late_show/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for David Copperfield tickets on {dateRange}. Find availability specifically for the 9:30 PM late show."", ""queries"": [[{""event_names"": [""david copperfield""], ""times"": [""21:30""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Mondays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/david_copperfield/discovery_dates/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for David Copperfield events during {dateRange}. Do not need to click into a specific event."", ""queries"": [[{""event_names"": [""david copperfield""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/david_copperfield/4_tickets/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find exactly 4 tickets for the David Copperfield magic show on {dateRange}."", ""queries"": [[{""event_names"": [""david copperfield""], ""ticket_quantities"": [4], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Tuesdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/boise_location/101,dates not mentioned,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'The Lion King (touring)'. Find the event happening in Cincinnati, OH at the Aronoff Center-Procter & Gamble Hall."", ""queries"": [[{""event_names"": [""the lion king touring""], ""cities"": [""cincinnati""], ""venues"": [""aronoff center-procter & gamble hall""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise""}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
